,Apr-25 (mb),2991603593,3005992431,3019858340,3037885950,3051482952,3073819737,3088209048,3102831898,3117565686,3132275148,3146908306
USER 81,7088.2637,8249.876,7122.374,12680.9619,6508.1709,4876.8301,7919.2656,5903.4307,6889.5215,9635.4785,8573.833,8341.3604
USER 82,7276.8174,8475.335,10316.5996,6667.4238,6275.0088,4763.2627,4696.085,3429.3164,6963.29,4082.7041,5523.667,2841.0518
USER 83,2488.8096,1651.9531,2410.3359,1859.3916,1105.7354,2301.3848,602.5791,2225.1328,2025.9854,941.1045,365.4883,1126.8311
USER 84,558.0176,1157.9951,746.999,890.9473,2266.6152,1681.0508,696.3311,1072.7227,1650.9688,4207.2373,4656.4209,2265.5635
USER 85,15467.834,21980.9248,17185.6846,29412.7451,34813.2197,23717.2656,25038.9922,15536.7842,23758.8516,10233.7334,18465.459,9394.5605
USER 86,19818.0898,13719.0586,17324.5918,33812.4512,23458.6055,7576.5117,,,,,,
USER 87,2738.2324,7735.5195,10240.0088,10968.7246,20516.251,10240,4159.1748,10255.248,10240,10240,3707.1982,7858.7051
USER 88,16870.7354,10956.0156,10727.043,2854.2822,9673.9307,10081.916,9896.46,9784.2344,10381.8604,,,
USER 89,571.6758,1469.5918,882.5049,873.4111,715.6387,401.6006,567.5059,438.3232,475.7705,372.6514,261.9258,276.0371
USER 90,10240,10240,10240,10240,10240,10233.8418,9537.4951,10240,9190.668,10242.9199,,
USER 91,3832.1445,4085.377,6307.832,9010.1016,5465.2002,8629.542,8575.9355,6885.0967,6371.5264,7160.0879,4871.4287,4644.0459
USER 92,2166.0674,2699.2139,8111.502,4012.6191,2209.7607,2452.7148,1791.3369,2027.0322,3476.5752,4099.1582,3813.8955,5417.4043
USER 93,2280.1699,1535.5869,1067.2607,959.127,1780.5889,1514.3203,1165.5449,939.3662,1729.5176,446.457,797.4443,774.5303
USER 94,,,,,,,,,31560.5205,21025.375,29237.1611,15418.584
USER 95,3997.415,7105.1904,7064.5068,4788.2334,4582.4248,8098.0771,9383.9834,6755.791,4112.5791,4774.2607,,
USER 96,1394.6973,821.0459,1387.999,5552.0156,2859.1377,3217.2412,1381.3574,1325.7656,414.9141,2472.6221,1674.4131,507.1172
USER 97,11484.4502,9032.0342,5506.6777,,,,,,,,,
USER 98,17578.8789,7392.125,8604.8193,,,,,,,,,
USER 99,11503.3584,12015.4639,13525.8076,24469.2881,38388.3223,22998.208,14303.7705,11748.0762,10713.5488,16810.4863,28024.5322,29699.6484
